time/total_timesteps,train/reward,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,time/iterations,train/n_updates,time/fps,train/policy_loss,time/time_elapsed,train/std
85000,-1951.0638,0.0,1e-05,1692402.875,-55.352943420410156,8500,8499,61,-57002.08984375,1372,1.0003700256347656
86000,-114.18031,-1.1920928955078125e-07,1e-05,23329054.0,-55.353797912597656,8600,8599,61,-247952.953125,1388,1.000388741493225
87000,-1590.0188,1.1920928955078125e-07,1e-05,4221904.0,-55.353912353515625,8700,8699,61,107330.078125,1404,1.0003942251205444
88000,189.91867,0.0,1e-05,16792320.0,-55.3543815612793,8800,8799,61,-188637.796875,1420,1.0004056692123413
89000,-601.34247,0.0,1e-05,541133.3125,-55.35512924194336,8900,8899,61,13428.3955078125,1437,1.0004223585128784
90000,-894.53296,-1.1920928955078125e-07,1e-05,18558784.0,-55.3555793762207,9000,8999,61,-199493.96875,1454,1.0004358291625977
91000,-954.91724,-2.384185791015625e-07,1e-05,3006584.75,-55.35650634765625,9100,9099,61,-86485.78125,1471,1.0004587173461914
92000,-481.0461,0.0,1e-05,1992157.625,-55.35589599609375,9200,9199,61,9991.5283203125,1488,1.0004433393478394
93000,-487.3571,5.960464477539063e-08,1e-05,20681594.0,-55.35506820678711,9300,9299,61,231811.953125,1501,1.0004231929779053
94000,977.49976,0.0,1e-05,26695044.0,-55.35480499267578,9400,9399,61,-272696.15625,1518,1.0004152059555054
95000,-1597.1147,0.0,1e-05,3520684.0,-55.35528564453125,9500,9499,61,-57723.5625,1536,1.0004284381866455
96000,171.04301,0.0,1e-05,9096216.0,-55.3549690246582,9600,9599,61,-128286.8359375,1553,1.0004198551177979
97000,-1240.647,0.0,1e-05,1512075.375,-55.3548698425293,9700,9699,61,19469.541015625,1567,1.0004169940948486
98000,1547.9105,4.4345855712890625e-05,1e-05,47586572.0,-55.355220794677734,9800,9799,61,-365987.5,1583,1.0004252195358276
99000,1835.2798,0.0,1e-05,23550162.0,-55.35537338256836,9900,9899,61,-179098.703125,1597,1.000433087348938
100000,-138.61765,1.1920928955078125e-07,1e-05,7508585.0,-55.35431671142578,10000,9999,61,-141887.484375,1613,1.000402569770813
101000,-2449.2278,-1.1920928955078125e-07,1e-05,15741776.0,-55.35386276245117,10100,10099,61,205838.140625,1629,1.000393033027649
102000,-3648.9253,0.0,1e-05,1532087.75,-55.35546875,10200,10199,61,42340.2109375,1647,1.0004323720932007
103000,867.3745,0.0,1e-05,14164663.0,-55.356807708740234,10300,10299,61,-147198.046875,1661,1.0004651546478271
104000,-968.7855,-3.0994415283203125e-06,1e-05,15184224.0,-55.35673904418945,10400,10399,61,-193361.828125,1677,1.0004643201828003
105000,-593.5933,0.0,1e-05,5555389.0,-55.355628967285156,10500,10499,61,-81311.3046875,1693,1.0004385709762573
106000,-1304.8927,0.0,1e-05,18017850.0,-55.35598373413086,10600,10599,61,-209296.796875,1710,1.00044846534729
107000,-1361.4031,0.0,1e-05,3850378.75,-55.35637283325195,10700,10699,62,-97478.2421875,1724,1.0004558563232422
108000,-1171.4082,-1.1920928955078125e-07,1e-05,5949359.5,-55.357093811035156,10800,10799,62,-86371.4296875,1741,1.0004774332046509
109000,32.86381,0.0,1e-05,28298470.0,-55.35786819458008,10900,10899,62,-244248.25,1755,1.0004992485046387
110000,-603.7429,0.0,1e-05,9891375.0,-55.35895919799805,11000,10999,62,149238.875,1773,1.0005227327346802
111000,1089.5449,-1.1920928955078125e-07,1e-05,17105334.0,-55.358795166015625,11100,11099,62,-196605.25,1788,1.000518798828125
112000,832.76154,-2.7418136596679688e-06,1e-05,32270406.0,-55.359222412109375,11200,11199,61,-251761.296875,1806,1.0005309581756592
113000,1422.1974,0.0,1e-05,12146414.0,-55.359375,11300,11299,62,-156599.671875,1820,1.0005335807800293
114000,-3563.412,0.0,1e-05,2705384.75,-55.35979080200195,11400,11399,61,-49093.68359375,1841,1.0005437135696411
115000,-1841.5148,-1.1920928955078125e-07,1e-05,14525715.0,-55.360084533691406,11500,11499,61,-156829.109375,1855,1.0005513429641724
116000,-755.942,0.0,1e-05,2610340.75,-55.360328674316406,11600,11599,61,-19818.396484375,1873,1.000559687614441
117000,-832.11273,-1.1920928955078125e-07,1e-05,14498226.0,-55.360633850097656,11700,11699,61,-175839.046875,1887,1.0005675554275513
118000,4116.6597,0.0,1e-05,5859905.5,-55.361061096191406,11800,11799,61,-119652.2109375,1906,1.0005762577056885
119000,-55.86638,1.1920928955078125e-07,1e-05,47705304.0,-55.36244583129883,11900,11899,61,336487.59375,1920,1.0006107091903687
120000,-393.7879,0.0,1e-05,19024702.0,-55.36198806762695,12000,11999,61,-218484.25,1941,1.0006020069122314
121000,4392.3154,0.0,1e-05,4825513.0,-55.361305236816406,12100,12099,61,83952.5546875,1954,1.0005834102630615
122000,-617.99774,0.0,1e-05,8676939.0,-55.36068344116211,12200,12199,61,-102576.1640625,1975,1.0005667209625244
123000,550.4336,-1.1920928955078125e-07,1e-05,144932976.0,-55.3614616394043,12300,12299,61,-535372.6875,1989,1.000588059425354
124000,-3441.1484,0.0,1e-05,8292159.5,-55.36220169067383,12400,12399,61,138704.234375,2006,1.0006052255630493
125000,-509.66663,0.0,1e-05,1446125.0,-55.36212158203125,12500,12499,61,-16934.017578125,2020,1.0006023645401
126000,-53.63447,0.0,1e-05,19586624.0,-55.3615837097168,12600,12599,61,-194693.671875,2040,1.0005886554718018
127000,-7705.464,1.7702579498291016e-05,1e-05,23595716.0,-55.362483978271484,12700,12699,61,-231571.046875,2054,1.0006146430969238
128000,-742.0624,0.0,1e-05,25500128.0,-55.36335372924805,12800,12799,61,-194728.234375,2072,1.0006383657455444
129000,-49.07008,-2.2649765014648438e-06,1e-05,24949148.0,-55.3636360168457,12900,12899,61,-120354.0234375,2086,1.0006455183029175
130000,507.84952,5.960464477539063e-08,1e-05,87143680.0,-55.36418533325195,13000,12999,61,-463395.0,2102,1.0006579160690308
131000,-1381.0746,0.0,1e-05,18625426.0,-55.365535736083984,13100,13099,61,-168196.609375,2116,1.0006954669952393
132000,-2818.9814,1.7881393432617188e-07,1e-05,34976148.0,-55.3668098449707,13200,13199,61,-272044.65625,2136,1.0007222890853882
133000,-1372.8597,1.1920928955078125e-07,1e-05,1176978.125,-55.3668327331543,13300,13299,61,3652.630859375,2149,1.0007271766662598
134000,-3518.6729,1.1920928955078125e-07,1e-05,75705328.0,-55.3681526184082,13400,13399,61,-320932.34375,2171,1.0007604360580444
135000,832.23157,0.0,1e-05,5288907.5,-55.36892318725586,13500,13499,61,-117152.5234375,2185,1.0007784366607666
136000,-4114.461,1.990795135498047e-05,1e-05,72122376.0,-55.36924362182617,13600,13599,61,-378238.09375,2203,1.000788927078247
137000,-414.91632,0.0,1e-05,2758260.5,-55.368804931640625,13700,13699,61,-40895.48046875,2217,1.000775694847107
138000,-640.5004,-1.1920928955078125e-07,1e-05,3776377.75,-55.368377685546875,13800,13799,61,-64633.42578125,2238,1.0007637739181519
139000,-3129.3628,1.1920928955078125e-07,1e-05,27400564.0,-55.3687858581543,13900,13899,61,-220360.484375,2253,1.0007766485214233
140000,-873.1555,1.1920928955078125e-07,1e-05,6402082.5,-55.36914825439453,14000,13999,61,-108132.828125,2269,1.000784158706665
141000,372.23615,0.0,1e-05,5442361.0,-55.3693733215332,14100,14099,61,-92030.4765625,2283,1.0007927417755127
142000,-157.2324,-1.1920928955078125e-07,1e-05,16781764.0,-55.369239807128906,14200,14199,61,-214015.453125,2303,1.0007851123809814
143000,170.97745,0.0,1e-05,19827724.0,-55.3684196472168,14300,14299,61,-199957.109375,2317,1.00076425075531
144000,375.32675,1.1920928955078125e-07,1e-05,21714350.0,-55.36855697631836,14400,14399,61,-207600.453125,2336,1.0007703304290771
145000,-397.70203,0.0,1e-05,10988153.0,-55.370033264160156,14500,14499,61,166907.5,2351,1.0008068084716797
146000,-574.8253,0.0,1e-05,1490512.5,-55.3697624206543,14600,14599,61,42044.16796875,2367,1.0008001327514648
147000,-378.26822,-1.1920928955078125e-07,1e-05,26379706.0,-55.37055587768555,14700,14699,61,-243408.203125,2381,1.0008182525634766
148000,-247.79753,0.0,1e-05,836257.0625,-55.370521545410156,14800,14799,61,10842.2685546875,2397,1.0008198022842407
149000,-1909.742,0.0,1e-05,38077660.0,-55.37018966674805,14900,14899,61,-253352.703125,2412,1.000811219215393
